"sID","state","year","name","type","city","county","enroll","mmr","overall","schagepop2016","statespending2016","per_capita","state_abbr","n_school"
1825,"California","2018-19","Abby Reinke Elementary","Public","Temecula","Riverside",137,99,96,6602,68892072,10435.0305967889,"CA",6891
1826,"California","2018-19","Abraham Lincoln Elementary","Public","Santa Ana","Orange",135,99,99,6602,68892072,10435.0305967889,"CA",6891
1827,"California","2018-19","Achieve Academy","Public","Oakland","Alameda",116,99,99,6602,68892072,10435.0305967889,"CA",6891
1828,"California","2018-19","Ada Clegg Elementary","Public","Huntington Beach","Orange",100,99,97,6602,68892072,10435.0305967889,"CA",6891
1829,"California","2018-19","Adam William Laird Elementary","Public","Santa Maria","Santa Barbara",121,99,99,6602,68892072,10435.0305967889,"CA",6891
1830,"California","2018-19","Adams Elementary","Public","Santa Barbara","Santa Barbara",126,99,98,6602,68892072,10435.0305967889,"CA",6891
1831,"California","2018-19","Addams Elementary","Public","Fresno","Fresno",124,99,93,6602,68892072,10435.0305967889,"CA",6891
1832,"California","2018-19","Agua Caliente Elementary","Public","Cathedral City","Riverside",118,99,99,6602,68892072,10435.0305967889,"CA",6891
1833,"California","2018-19","Akira Yokomi Elementary","Public","Fresno","Fresno",105,99,99,6602,68892072,10435.0305967889,"CA",6891
1834,"California","2018-19","Alamos Elementary","Public","Murrieta","Riverside",149,99,97,6602,68892072,10435.0305967889,"CA",6891
1835,"California","2018-19","Alexandria Avenue Elementary","Public","Los Angeles","Los Angeles",144,99,97,6602,68892072,10435.0305967889,"CA",6891
1836,"California","2018-19","Alicante Avenue Elementary","Public","Lamont","Kern",161,99,99,6602,68892072,10435.0305967889,"CA",6891
1837,"California","2018-19","Alice Birney Elementary","Public","Colton","San Bernardino",102,99,99,6602,68892072,10435.0305967889,"CA",6891
1838,"California","2018-19","Alisal Community","Public","Salinas","Monterey",110,99,99,6602,68892072,10435.0305967889,"CA",6891
1839,"California","2018-19","Almond Elementary","Public","Fontana","San Bernardino",156,99,98,6602,68892072,10435.0305967889,"CA",6891
1840,"California","2018-19","Almond Grove Elementary","Public","Oakley","Contra Costa",101,99,98,6602,68892072,10435.0305967889,"CA",6891
1841,"California","2018-19","Alpha Elementary","Public","Madera","Madera",130,99,99,6602,68892072,10435.0305967889,"CA",6891
1842,"California","2018-19","Alpine Vista","Public","Tulare","Tulare",121,99,99,6602,68892072,10435.0305967889,"CA",6891
1843,"California","2018-19","Alta Loma Elementary","Public","Alta Loma","San Bernardino",145,99,98,6602,68892072,10435.0305967889,"CA",6891
1844,"California","2018-19","Alta Vista Elementary","Public","Redondo Beach","Los Angeles",104,99,99,6602,68892072,10435.0305967889,"CA",6891
1845,"California","2018-19","Altamont Creek Elementary","Public","Livermore","Alameda",128,99,98,6602,68892072,10435.0305967889,"CA",6891
1846,"California","2018-19","Alvarado Elementary","Public","Union City","Alameda",124,99,99,6602,68892072,10435.0305967889,"CA",6891
1847,"California","2018-19","Alvin Elementary","Public","Santa Maria","Santa Barbara",176,99,99,6602,68892072,10435.0305967889,"CA",6891
1848,"California","2018-19","Amelia Earhart Elementary","Public","Alameda","Alameda",149,99,99,6602,68892072,10435.0305967889,"CA",6891
1849,"California","2018-19","Amestoy Elementary","Public","Gardena","Los Angeles",128,99,96,6602,68892072,10435.0305967889,"CA",6891
1850,"California","2018-19","Andrew Jackson Elementary","Public","Santa Ana","Orange",124,99,98,6602,68892072,10435.0305967889,"CA",6891
1851,"California","2018-19","Andrew Jackson Elementary","Public","Indio","Riverside",158,99,99,6602,68892072,10435.0305967889,"CA",6891
1852,"California","2018-19","Andros Karperos","Public","Yuba City","Sutter",107,99,99,6602,68892072,10435.0305967889,"CA",6891
1853,"California","2018-19","Anna Kirchgater Elementary","Public","Sacramento","Sacramento",105,99,98,6602,68892072,10435.0305967889,"CA",6891
1854,"California","2018-19","Anna Kyle Elementary","Public","Fairfield","Solano",123,99,95,6602,68892072,10435.0305967889,"CA",6891
1855,"California","2018-19","Anna M. Glazier Elementary","Public","Norwalk","Los Angeles",116,99,99,6602,68892072,10435.0305967889,"CA",6891
1856,"California","2018-19","Annie E. Cheney Kindergarten","Public","Coalinga","Fresno",124,99,98,6602,68892072,10435.0305967889,"CA",6891
1857,"California","2018-19","Annie R. Mitchell","Public","Visalia","Tulare",127,99,98,6602,68892072,10435.0305967889,"CA",6891
1858,"California","2018-19","Ansgar Larsen Elementary","Public","Oxnard","Ventura",130,99,99,6602,68892072,10435.0305967889,"CA",6891
1859,"California","2018-19","Antonio Del Buono Elementary","Public","Gilroy","Santa Clara",122,99,99,6602,68892072,10435.0305967889,"CA",6891
1860,"California","2018-19","Anza Elementary","Public","Torrance","Los Angeles",123,99,99,6602,68892072,10435.0305967889,"CA",6891
1861,"California","2018-19","Anza Elementary","Public","El Cajon","San Diego",117,99,99,6602,68892072,10435.0305967889,"CA",6891
1862,"California","2018-19","Apricot Valley Elementary","Public","Patterson","Stanislaus",109,99,99,6602,68892072,10435.0305967889,"CA",6891
